order_item_id,order_id,product_id,quantity,unit_price
1,1,263,3,298.41
2,1,286,4,51.14
3,1,299,1,319.72
4,1,189,2,260.69
5,2,21,1,394.05
6,2,171,2,454.2
7,2,158,4,125.25
8,2,74,3,281.62
9,2,89,4,164.26
10,3,271,1,197.61
11,3,40,3,144.53
12,4,133,1,457.25
13,4,141,1,327.95
14,4,253,4,411.34
15,4,129,1,206.29
16,4,25,4,348.84
17,5,164,4,317.64
18,5,244,2,79.68
19,5,132,2,292.02
20,6,130,2,281.38
21,6,247,4,160.17
22,7,53,3,489.16
23,8,71,4,269.79
24,8,273,4,142.34
25,9,294,4,67.28
26,10,103,4,140.03
27,11,36,3,434.74
28,11,231,3,31.84
29,11,122,4,216.57
30,11,96,3,308.98
31,12,184,2,41.14
32,12,130,3,281.38
33,12,137,4,139.2
34,12,27,4,228.07
35,12,292,4,488.18
36,13,180,4,177.93
37,13,185,2,68.68
38,13,278,2,264.93
39,13,159,3,443.16
40,14,212,2,462.33
41,14,55,2,364.61
42,15,272,3,496.62
43,16,23,3,425.4
44,17,30,1,219.39
45,17,3,2,267.35
46,17,127,3,122.14
47,17,40,4,144.53
48,17,39,1,182.23
49,18,216,3,466.65
50,18,172,1,116.94
51,19,48,1,340.83
52,20,68,2,165.18
53,21,249,4,295.5
54,21,141,4,327.95
55,21,55,3,364.61
56,21,227,1,127.2
57,21,34,3,160.9
58,22,200,3,258.95
59,22,12,2,188.73
60,22,259,4,281.8
61,22,156,3,466.38
62,23,105,4,146.3
63,24,14,1,153.13
64,24,213,1,375.44
65,24,108,1,276.99
66,24,229,4,127.79
67,24,281,3,187.2
68,25,290,2,59.43
69,26,89,1,164.26
70,26,235,1,236.29
71,27,273,1,142.34
72,28,225,3,258.06
73,28,121,1,173.91
74,28,280,3,254.0
75,29,31,4,293.94
76,29,147,3,202.54
77,29,134,1,351.06
78,29,218,4,34.5
79,30,8,2,97.95
80,31,118,2,127.24
81,31,291,3,337.77
82,31,77,3,277.6
83,31,217,1,408.7
84,31,41,3,111.52
85,32,241,3,491.7
86,33,51,3,87.61
87,33,264,2,251.73
88,34,161,1,172.6
89,34,171,3,454.2
90,34,107,1,230.58
91,34,284,1,434.92
92,34,177,2,170.45
93,35,132,3,292.02
94,35,155,2,154.38
95,35,168,1,243.76
96,35,10,1,424.11
97,36,236,3,421.51
98,36,128,4,468.1
99,37,98,1,188.55
100,37,27,3,228.07
101,37,259,1,281.8
102,37,138,1,234.17
103,37,216,4,466.65
104,38,215,2,67.79
105,39,195,2,105.48
106,39,133,1,457.25
107,39,3,3,267.35
108,40,195,4,105.48
109,40,235,3,236.29
110,40,222,2,337.53
111,41,217,3,408.7
112,42,253,2,411.34
113,42,260,3,307.22
114,42,88,2,47.15
115,43,71,1,269.79
116,43,73,3,104.17
117,43,244,2,79.68
118,43,17,2,270.98
119,44,14,4,153.13
120,44,26,1,319.64
121,44,219,3,39.13
122,44,182,3,171.68
123,44,120,1,400.58
124,45,172,1,116.94
125,45,48,4,340.83
126,45,227,2,127.2
127,46,156,1,466.38
128,46,253,4,411.34
129,47,30,4,219.39
130,47,246,4,247.81
131,47,57,4,192.44
132,48,16,2,223.26
133,48,148,2,128.77
134,48,272,2,496.62
135,48,102,1,123.88
136,48,184,1,41.14
137,49,41,4,111.52
138,49,90,3,310.39
139,49,243,1,122.96
140,49,228,4,119.79
141,49,24,3,12.45
142,50,299,2,319.72
143,50,48,4,340.83
144,50,140,3,13.9
145,51,43,2,380.87
146,51,162,4,496.16
147,51,117,3,451.52
148,51,85,3,360.53
149,51,147,1,202.54
150,52,140,4,13.9
151,53,244,3,79.68
152,54,222,1,337.53
153,54,207,4,286.96
154,54,250,2,125.82
155,54,4,2,388.11
156,55,92,1,147.81
157,55,181,4,223.62
158,55,248,2,498.98
159,55,275,4,199.79
160,55,133,1,457.25
161,56,124,3,393.84
162,56,249,2,295.5
163,57,217,4,408.7
164,57,20,2,266.77
165,58,46,3,298.6
166,58,154,3,214.36
167,58,84,4,91.65
168,58,283,2,430.36
169,59,271,4,197.61
170,59,24,3,12.45
171,59,211,1,381.57
172,59,300,2,469.13
173,59,145,2,354.38
174,60,256,2,265.57
175,60,167,1,233.32
176,60,272,4,496.62
177,60,213,4,375.44
178,60,193,3,301.2
179,61,187,4,442.69
180,61,177,3,170.45
181,61,300,2,469.13
182,62,169,4,320.54
183,62,139,1,310.45
184,63,157,1,122.4
185,63,19,3,445.96
186,63,184,4,41.14
187,64,57,3,192.44
188,64,221,2,434.95
189,64,170,1,319.91
190,64,258,1,352.75
191,64,33,3,230.94
192,65,215,2,67.79
193,65,28,4,166.38
194,65,11,1,337.55
195,66,223,3,410.85
196,66,273,1,142.34
197,67,22,3,7.76
198,67,208,1,294.38
199,68,41,4,111.52
200,68,14,2,153.13
201,68,101,4,68.3
202,69,208,3,294.38
203,69,192,2,53.7
204,69,199,2,237.93
205,69,68,4,165.18
206,69,231,4,31.84
207,70,239,2,430.22
208,70,256,1,265.57
209,71,70,4,256.04
210,71,130,4,281.38
211,71,155,1,154.38
212,71,207,1,286.96
213,72,179,2,28.96
214,72,6,4,209.7
215,72,15,3,301.89
216,72,73,1,104.17
217,72,165,3,136.21
218,73,262,4,306.06
219,73,211,3,381.57
220,73,130,2,281.38
221,73,203,1,408.97
222,74,1,3,240.09
223,74,89,1,164.26
224,74,156,2,466.38
225,74,61,1,172.36
226,74,50,2,104.35
227,75,19,1,445.96
228,75,198,4,80.32
229,75,137,4,139.2
230,75,264,4,251.73
231,75,216,3,466.65
232,76,291,1,337.77
233,76,3,2,267.35
234,76,34,2,160.9
235,76,25,1,348.84
236,76,59,1,114.22
237,77,135,1,438.07
238,77,100,4,38.1
239,78,181,3,223.62
240,78,211,1,381.57
241,79,279,2,412.61
242,79,76,4,32.13
243,79,170,4,319.91
244,79,108,2,276.99
245,80,6,1,209.7
246,80,11,3,337.55
247,80,225,3,258.06
248,80,274,1,474.52
249,81,113,2,65.48
250,81,93,1,310.56
251,81,18,3,202.89
252,81,146,3,204.96
253,81,60,4,329.58
254,82,269,3,213.28
255,83,117,1,451.52
256,83,228,4,119.79
257,83,208,1,294.38
258,84,236,1,421.51
259,84,89,3,164.26
260,84,292,4,488.18
261,84,149,3,43.18
262,84,91,2,103.25
263,85,244,3,79.68
264,86,114,2,375.54
265,86,289,2,38.41
266,86,247,4,160.17
267,87,69,4,51.48
268,87,252,4,430.51
269,88,232,1,150.58
270,88,292,4,488.18
271,89,186,3,56.19
272,89,160,1,310.96
273,89,64,1,258.82
274,89,61,3,172.36
275,89,211,1,381.57
276,90,47,2,348.76
277,90,236,2,421.51
278,90,297,1,242.14
279,91,154,3,214.36
280,91,234,2,220.09
281,91,41,3,111.52
282,92,281,1,187.2
283,92,61,3,172.36
284,92,43,3,380.87
285,92,105,3,146.3
286,92,89,1,164.26
287,93,116,3,198.65
288,94,138,1,234.17
289,94,168,1,243.76
290,94,167,2,233.32
