product_id,name,category_id,sku,price,description
1,News Pretty,9,SKU-00001,240.09,Manage south open care.
2,Smile Protect,10,SKU-00002,313.93,Why some road as difficult dog.
3,Change Accept,6,SKU-00003,267.35,Card right heart stand work.
4,Prevent Its,13,SKU-00004,388.11,Past resource sense character note.
5,Night Key,2,SKU-00005,288.39,Evening lose want positive deep.
6,Window Assume,18,SKU-00006,209.7,Rule war accept style way.
7,Write Democrat,20,SKU-00007,169.97,Dog four him shake.
8,Watch Learn,15,SKU-00008,97.95,Nation including far company.
9,Fight These,1,SKU-00009,466.16,Stop center lay every.
10,Management Important,18,SKU-00010,424.11,Build per others.
11,Return Happy,14,SKU-00011,337.55,So company voice like face theory.
12,Outside The,19,SKU-00012,188.73,Former recognize thank argue move.
13,Support Leg,13,SKU-00013,145.43,Glass close bit series middle better present.
14,Management Field,6,SKU-00014,153.13,The thousand that feel situation serve list eat.
15,Tv Believe,8,SKU-00015,301.89,Bag memory her wall single be.
16,Reach Forward,14,SKU-00016,223.26,For because social score build like people meet.
17,Can Someone,3,SKU-00017,270.98,Week thus produce.
18,Service Practice,10,SKU-00018,202.89,Budget their total radio.
19,Lead Reflect,11,SKU-00019,445.96,Beyond open all station.
20,Speech Realize,6,SKU-00020,266.77,Fall community oil of reflect kitchen.
21,Join Sound,6,SKU-00021,394.05,Indicate middle rest you impact whole.
22,Seem Father,19,SKU-00022,7.76,Above chance finish popular somebody stage.
23,Compare Provide,8,SKU-00023,425.4,Production nation notice campaign lead cost bed.
24,Life Such,1,SKU-00024,12.45,During direction process.
25,Agree Last,1,SKU-00025,348.84,East pretty information drop hard.
26,Rate Up,19,SKU-00026,319.64,Nature least seem.
27,Keep Finish,4,SKU-00027,228.07,Us likely can pretty describe.
28,Network Second,9,SKU-00028,166.38,However official check develop decide.
29,Century Program,20,SKU-00029,38.34,Accept on table time would music boy.
30,With Sea,1,SKU-00030,219.39,Step share evening occur claim sister show.
31,Point Various,14,SKU-00031,293.94,Probably day soldier carry network hope husband contain.
32,Charge Attention,20,SKU-00032,379.2,House relationship market success policy save lot.
33,Most Stop,19,SKU-00033,230.94,White fall shake say.
34,Bill Get,15,SKU-00034,160.9,Best cup rest establish.
35,Appear Her,8,SKU-00035,427.4,Little good still manager know senior fine.
36,History Both,20,SKU-00036,434.74,Choose medical staff discussion international.
37,Left Back,5,SKU-00037,21.32,National force become tax arm service.
38,Skill Side,19,SKU-00038,223.97,Probably smile easy position.
39,Young Theory,17,SKU-00039,182.23,Mr brother system.
40,Environment Suffer,13,SKU-00040,144.53,Customer fast money.
41,Building Special,20,SKU-00041,111.52,Power direction arrive west.
42,Treatment Home,6,SKU-00042,248.61,Total action whose participant program happen.
43,Right Service,3,SKU-00043,380.87,Executive yourself arm purpose would.
44,Relationship Take,15,SKU-00044,280.03,Despite keep behind friend southern face.
45,Most Experience,13,SKU-00045,330.66,Marriage bed team many dinner few.
46,Trade Effort,8,SKU-00046,298.6,Use term suggest create.
47,Government If,17,SKU-00047,348.76,Event recently any born your.
48,Painting While,20,SKU-00048,340.83,Sit indeed ago serve challenge upon development.
49,Beat Tree,14,SKU-00049,195.92,We commercial fact.
50,Hundred Peace,19,SKU-00050,104.35,Race tell born ground get sort high officer.
51,Site Fly,12,SKU-00051,87.61,Claim human act administration human door prevent.
52,West Alone,2,SKU-00052,55.35,Popular sit industry wish night field.
53,Magazine Book,15,SKU-00053,489.16,Drop guy amount responsibility all.
54,Hear View,17,SKU-00054,277.74,Line because significant.
55,Keep Mind,12,SKU-00055,364.61,Cup actually evidence that build beat middle.
56,Until Director,7,SKU-00056,469.55,Board fly question seat word enter meeting.
57,Society Seek,13,SKU-00057,192.44,Movement audience sit so should.
58,Prevent Already,8,SKU-00058,186.07,Up environmental their let entire.
59,Message Learn,8,SKU-00059,114.22,Standard dark election house.
60,Be Suffer,1,SKU-00060,329.58,Boy relationship name hold local body available.
61,Budget Series,15,SKU-00061,172.36,Up individual also sit money.
62,By Available,11,SKU-00062,494.19,Compare executive air point discover control.
63,Price Phone,3,SKU-00063,51.26,That first upon head yes son address.
64,Friend Hotel,7,SKU-00064,258.82,Child approach everybody.
65,Bring Suffer,14,SKU-00065,91.69,Look south campaign current almost to.
66,Whatever Treatment,7,SKU-00066,419.38,Entire billion financial control order candidate as.
67,Next Defense,18,SKU-00067,85.85,Vote throughout great area.
68,Support Firm,4,SKU-00068,165.18,Action mother try blood evening place.
69,If Fact,19,SKU-00069,51.48,Degree room space teacher.
70,Blue Close,3,SKU-00070,256.04,Less everyone make ever room director class.
71,Store Approach,4,SKU-00071,269.79,Else special process type natural economy.
72,Hair Sound,7,SKU-00072,145.83,Seat explain think unit stand performance.
73,Get President,8,SKU-00073,104.17,Company account television rule big.
74,Assume Education,10,SKU-00074,281.62,Clearly big song most foot and.
75,Any Your,11,SKU-00075,47.98,Career necessary son nothing.
76,Recognize Often,3,SKU-00076,32.13,Account collection north benefit.
77,Today Family,15,SKU-00077,277.6,Single speech physical notice final.
78,Trouble Trial,5,SKU-00078,26.1,Seem gas speak line.
79,Successful Start,10,SKU-00079,74.86,Beyond threat way high.
80,Series Green,10,SKU-00080,328.91,Order big which society place.
81,Give Surface,20,SKU-00081,428.06,Cold member about election.
82,Record Range,16,SKU-00082,300.72,Certain difference thought no such.
83,Tell Experience,9,SKU-00083,67.51,Possible discussion right across view.
84,Even Among,15,SKU-00084,91.65,Answer beat start argue action.
85,Wonder Mention,15,SKU-00085,360.53,War particularly week.
86,Partner Realize,19,SKU-00086,283.31,Fast herself really meeting.
87,No Culture,11,SKU-00087,412.36,Focus each college.
88,Fly View,2,SKU-00088,47.15,Great yeah perhaps more stage.
89,Society He,4,SKU-00089,164.26,May make treatment hour character.
90,American Stock,5,SKU-00090,310.39,Box here better physical mention name degree.
91,Indicate Listen,13,SKU-00091,103.25,Little site both suffer.
92,Culture Ask,16,SKU-00092,147.81,Laugh service such mention.
93,Certainly Arrive,6,SKU-00093,310.56,Loss quickly camera fall idea project trouble record.
94,Peace Do,11,SKU-00094,112.67,Different itself north management address.
95,Staff Country,11,SKU-00095,443.58,Sign product American control four.
96,Foreign We,18,SKU-00096,308.98,Only pretty note food memory feel.
97,Short Employee,10,SKU-00097,174.36,Medical investment play quality.
98,Almost Sing,8,SKU-00098,188.55,Source pull study method.
99,Amount Common,2,SKU-00099,122.42,Condition work unit argue picture thought thus.
100,Figure Threat,8,SKU-00100,38.1,Gun attorney soldier according body simply.
101,Sure Assume,15,SKU-00101,68.3,Commercial civil market year meet across.
102,Congress Number,5,SKU-00102,123.88,Human alone discussion station.
103,Entire Operation,15,SKU-00103,140.03,Nation series sort necessary manager hot.
104,Sure Guy,13,SKU-00104,294.86,National those employee Mr decade purpose.
105,Administration Form,12,SKU-00105,146.3,Minute include sea manager measure.
106,Drug Hot,17,SKU-00106,310.25,Fall site instead network here bag bag wonder.
107,Child Model,3,SKU-00107,230.58,She specific morning show trade.
108,Simply Myself,8,SKU-00108,276.99,Position free case should why Republican heart fly.
109,And Against,11,SKU-00109,153.75,Partner see however much any doctor.
110,Song Size,3,SKU-00110,121.76,Write fall professor so.
111,Walk Energy,15,SKU-00111,480.21,Natural prevent catch lose water mean dark.
112,Exist Also,2,SKU-00112,311.07,Style whether benefit within pretty modern first.
113,Popular Rock,8,SKU-00113,65.48,Institution again sell.
114,Rate Account,17,SKU-00114,375.54,Off author tax them seek want.
115,Section Environmental,8,SKU-00115,148.87,Behind series fly happy perhaps.
116,Ask Attack,18,SKU-00116,198.65,Miss find window practice situation court.
117,Base People,12,SKU-00117,451.52,Skill meet learn happy along.
118,True Visit,5,SKU-00118,127.24,Those identify any into maintain billion book.
119,Vote Stock,3,SKU-00119,419.64,Ability attention total writer his.
120,Deep Laugh,2,SKU-00120,400.58,Yourself his large TV.
121,Myself Image,11,SKU-00121,173.91,Third raise beautiful consumer show option.
122,Maybe Argue,19,SKU-00122,216.57,Wife rise on daughter contain could.
123,Rather Part,10,SKU-00123,173.45,Woman explain image raise toward.
124,Meet Woman,7,SKU-00124,393.84,Tax thank be own really.
125,Movement Wonder,8,SKU-00125,16.23,Political physical explain respond ground appear.
126,Mention Trip,10,SKU-00126,475.16,Send rich weight foreign.
