category_id,category_name,total_quantity_sold,total_revenue
7,Phone,598,164184.0600000001
1,Have,555,148283.97999999998
15,Hour,511,139353.7199999999
4,Choice,557,131087.62999999998
18,Strong,532,126422.07
11,Young,393,118925.19000000009
6,Several,421,117317.93999999992
13,Past,352,103571.83000000006
8,Nor,378,103094.27999999994
10,President,367,93127.59999999996
2,Deal,308,91092.74000000002
19,Different,304,83604.12000000002
12,Who,297,75631.24000000003
20,Mind,268,73849.69000000002
9,Wind,287,62067.65999999999
5,Peace,380,61100.76999999995
16,The,239,60383.31999999998
14,Break,253,56539.17999999999
3,One,212,50701.699999999975
17,Support,256,42035.58
